Datum i vrijeme,Vrijeme,Naziv grada,Izlazak sunca (UTC),Zalazak sunca (UTC),Dio dana (d = dan / n = noc),Difuzno horizontalno suncevo zracenje (W/m^2),Direktno normalno suncevo zracenje (W/m^2),Globalno horizontalno suncevo zracenje (W/m^2),Procijenjeno_suncevo_zracenje,Solarni elevacioni ugao (stepeni),Solarni satni ugao (stepeni),UV indeks,Temperatura,Aparentna temperatura (�C),Relativna vlaznost (%),Temperatura rose (�C),Oblacnost (%),Vidljivost (km),Padavine (mm/h),Snijeg (mm/h),Pritisak (mb),Brzina vjetra (m/s),Smjer vjetra (stepeni)
2024-03-02:18,19:44:08,Sarajevo,05:19,16:38,n,0,0,0,0,-15.78,-90,0,12,12,58,4,85,16,0.5,0,951,1.5,60
2024-03-02:18,19:47:08,Sarajevo,05:19,16:38,n,0,0,0,0,-15.78,-90,0,12,12,58,4,85,16,0.5,0,951,1.5,60
2024-03-02:18,19:50:08,Sarajevo,05:19,16:38,n,0,0,0,0,-15.78,-90,0,12,12,58,4,85,16,0.5,0,951,1.5,60
2024-03-02:18,19:53:08,Sarajevo,05:19,16:38,n,0,0,0,0,-15.78,-90,0,12,12,58,4,85,16,0.5,0,951,1.5,60
2024-03-02:18,19:55:07,Sarajevo,05:19,16:38,n,0,0,0,0,-15.78,-90,0,12,12,58,4,85,16,0.5,0,951,1.5,60
2024-03-02:18,19:58:07,Sarajevo,05:19,16:38,n,0,0,0,0,-15.78,-90,0,12,12,58,4,85,16,0.5,0,951,1.5,60
2024-03-02:18,20:01:07,Sarajevo,05:19,16:38,n,0,0,0,0,-15.78,-90,0,12,12,58,4,85,16,0.5,0,951,1.5,60
2024-03-02:18,20:04:07,Sarajevo,05:19,16:38,n,0,0,0,0,-15.78,-90,0,12,12,58,4,85,16,0.5,0,951,1.5,60
2024-03-02:18,20:07:07,Sarajevo,05:19,16:38,n,0,0,0,0,-26.37,-90,0,11,11,61,3.8,85,16,1,0,950.8,2.6,30
2024-03-02:18,20:10:07,Sarajevo,05:19,16:38,n,0,0,0,0,-26.37,-90,0,11,11,61,3.8,85,16,1,0,950.8,2.6,30
2024-03-02:18,20:13:07,Sarajevo,05:19,16:38,n,0,0,0,0,-26.37,-90,0,11,11,61,3.8,85,16,1,0,950.8,2.6,30
2024-03-02:18,20:16:07,Sarajevo,05:19,16:38,n,0,0,0,0,-26.37,-90,0,11,11,61,3.8,85,16,1,0,950.8,2.6,30
2024-03-02:19,20:19:07,Sarajevo,05:19,16:38,n,0,0,0,0,-26.37,-90,0,11,11,61,3.8,85,16,0,0,951.8,2.1,30
2024-03-02:19,20:22:07,Sarajevo,05:19,16:38,n,0,0,0,0,-26.37,-90,0,11,11,61,3.8,85,16,0,0,951.8,2.1,30
2024-03-02:19,20:25:07,Sarajevo,05:19,16:38,n,0,0,0,0,-26.37,-90,0,11,11,61,3.8,85,16,0,0,951.8,2.1,30
2024-03-02:19,20:28:07,Sarajevo,05:19,16:38,n,0,0,0,0,-26.37,-90,0,11,11,61,3.8,85,16,0,0,951.8,2.1,30
2024-03-02:19,20:31:07,Sarajevo,05:19,16:38,n,0,0,0,0,-26.37,-90,0,11,11,61,3.8,84,16,0,0,951.8,2.1,30
2024-03-02:19,20:34:07,Sarajevo,05:19,16:38,n,0,0,0,0,-26.37,-90,0,11,11,61,3.8,84,16,0,0,951.8,2.1,30
2024-03-02:19,20:37:07,Sarajevo,05:19,16:38,n,0,0,0,0,-26.37,-90,0,11,11,61,3.8,84,16,0,0,951.8,2.1,30
2024-03-02:19,20:40:07,Sarajevo,05:19,16:38,n,0,0,0,0,-26.37,-90,0,11,11,61,3.8,84,16,0,0,951.8,2.1,30
2024-03-02:19,20:43:07,Sarajevo,05:19,16:38,n,0,0,0,0,-26.37,-90,0,11,11,61,3.8,83,16,1,0,951.8,2.1,30
2024-03-02:19,20:46:07,Sarajevo,05:19,16:38,n,0,0,0,0,-26.37,-90,0,11,11,61,3.8,83,16,1,0,951.8,2.1,30
2024-03-02:19,20:49:07,Sarajevo,05:19,16:38,n,0,0,0,0,-26.37,-90,0,11,11,61,3.8,83,16,1,0,951.8,2.1,30
2024-03-02:19,20:52:08,Sarajevo,05:19,16:38,n,0,0,0,0,-26.37,-90,0,11,11,61,3.8,83,16,1,0,951.8,2.1,30
2024-03-02:19,20:55:08,Sarajevo,05:19,16:38,n,0,0,0,0,-26.37,-90,0,11,11,61,3.8,83,16,1,0,951.8,1.5,20
2024-03-02:19,20:58:08,Sarajevo,05:19,16:38,n,0,0,0,0,-26.37,-90,0,11,11,61,3.8,83,16,1,0,951.8,1.5,20
2024-03-02:19,21:01:08,Sarajevo,05:19,16:38,n,0,0,0,0,-26.37,-90,0,11,11,61,3.8,83,16,1,0,951.8,1.5,20
2024-03-02:19,21:04:08,Sarajevo,05:19,16:38,n,0,0,0,0,-26.37,-90,0,11,11,61,3.8,83,16,1,0,951.8,1.5,20
